timestamp,load_mw,temp_c,humidity,wind_ms,rain_mm,outage,duration_min
2024-01-01 00:00:00,57.46,24.79,63.24,0.51,0.0,0,0
2024-01-01 01:00:00,62.9,24.7,60.24,0.6,0.0,0,0
2024-01-01 02:00:00,60.46,19.13,56.38,2.84,0.0,0,0
2024-01-01 03:00:00,62.19,18.33,74.4,0.67,0.0,0,0
2024-01-01 04:00:00,75.07,19.17,62.91,0.2,0.0,0,0
2024-01-01 05:00:00,91.54,17.32,66.65,0.39,0.0,0,0
2024-01-01 06:00:00,116.38,14.97,71.04,2.37,0.0,0,0
2024-01-01 07:00:00,131.8,16.46,69.08,1.48,0.0,0,0
2024-01-01 08:00:00,133.16,17.59,70.38,0.46,0.0,0,0
2024-01-01 09:00:00,126.14,17.12,72.23,4.43,0.0,1,54
2024-01-01 10:00:00,111.86,17.3,69.88,1.21,0.0,0,0
2024-01-01 11:00:00,92.33,18.98,69.37,6.55,0.0,0,0
2024-01-01 12:00:00,77.16,19.54,67.69,4.42,0.0,0,0
2024-01-01 13:00:00,63.26,20.58,55.92,1.13,0.0,0,0
2024-01-01 14:00:00,63.96,24.22,52.41,0.78,0.0,0,0
2024-01-01 15:00:00,68.41,24.93,54.57,4.88,0.0,0,0
2024-01-01 16:00:00,88.65,23.95,49.7,0.78,0.0,0,0
2024-01-01 17:00:00,114.61,26.25,49.17,1.62,0.0,0,0
2024-01-01 18:00:00,142.12,26.95,52.02,2.19,0.0,0,0
2024-01-01 19:00:00,160.62,24.92,50.21,1.01,0.0,0,0
2024-01-01 20:00:00,141.52,27.71,52.85,0.47,0.0,0,0
2024-01-01 21:00:00,115.62,29.51,56.69,0.81,0.0,0,0
2024-01-01 22:00:00,93.0,28.08,65.95,0.28,0.0,0,0
2024-01-01 23:00:00,72.23,26.39,54.89,3.4,0.0,0,0
2024-01-02 00:00:00,54.02,23.41,62.37,3.52,0.0,0,0
2024-01-02 01:00:00,55.94,22.38,60.98,7.76,0.0,0,0
